Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Winning Team,PenalHomeScr,PenalAwayScr,PenalWinner
27-May-34, 16:30 ,Preliminary round,Stadio Benito Mussolini,Turin,Italy,Austria,3,2,France,Austria win after extra time ,Austria,,,
27-May-34, 16:30 ,Preliminary round,Giorgio Ascarelli,Naples,Italy,Hungary,4,2,Egypt, ,Hungary,,,
27-May-34, 16:30 ,Preliminary round,San Siro,Milan,Italy,Switzerland,3,2,Netherlands, ,Switzerland,,,
27-May-34, 16:30 ,Preliminary round,Littorale,Bologna,Italy,Sweden,3,2,Argentina, ,Sweden,,,
27-May-34, 16:30 ,Preliminary round,Giovanni Berta,Florence,Italy,Germany,5,2,Belgium, ,Germany,,,
27-May-34, 16:30 ,Preliminary round,Luigi Ferraris,Genoa,Italy,Spain,3,1,Brazil, ,Spain,,,
27-May-34, 16:30 ,Preliminary round,Nazionale PNF,Rome,Italy,Italy,7,1,USA, ,Italy,,,
27-May-34, 16:30 ,Preliminary round,Littorio,Trieste,Italy,Czechoslovakia,2,1,Romania, ,Czechoslovakia,,,
31-May-34, 16:30 ,Quarter-finals,Stadio Benito Mussolini,Turin,Italy,Czechoslovakia,3,2,Switzerland, ,Czechoslovakia,,,
31-May-34, 16:30 ,Quarter-finals,San Siro,Milan,Italy,Germany,2,1,Sweden, ,Germany,,,
31-May-34, 16:30 ,Quarter-finals,Giovanni Berta,Florence,Italy,Italy,1,1,Spain, ,Tie,,,
31-May-34, 16:30 ,Quarter-finals,Littorale,Bologna,Italy,Austria,2,1,Hungary, ,Austria,,,
1-Jun-34, 16:30 ,Quarter-finals,Giovanni Berta,Florence,Italy,Italy,1,0,Spain, ,Italy,,,
3-Jun-34, 16:30 ,Semi-finals,San Siro,Milan,Italy,Italy,1,0,Austria, ,Italy,,,
3-Jun-34, 16:30 ,Semi-finals,Nazionale PNF,Rome,Italy,Czechoslovakia,3,1,Germany, ,Czechoslovakia,,,
7-Jun-34, 18:00 ,Match for third place,Giorgio Ascarelli,Naples,Italy,Germany,3,2,Austria, ,Germany,,,
10-Jun-34, 17:30 ,Final,Nazionale PNF,Rome,Italy,Italy,2,1,Czechoslovakia,Italy win after extra time ,Italy,,,
4-Jun-38, 17:00 ,First round,Parc des Princes,Paris,France,Switzerland,1,1,Germany, ,Tie,,,
5-Jun-38, 17:00 ,First round,Velodrome Municipale,Reims,France,Hungary,6,0,Dutch East Indies, ,Hungary,,,
5-Jun-38, 17:00 ,First round,Stade Olympique,Colombes,France,France,3,1,Belgium, ,France,,,
5-Jun-38, 17:00 ,First round,Stade Municipal,Toulouse,France,Cuba,3,3,Romania, ,Tie,,,
5-Jun-38, 17:00 ,First round,Stade Vélodrome,Marseille,France,Italy,2,1,Norway,Italy win after extra time ,Italy,,,
5-Jun-38, 17:30 ,First round,Stade de la Meinau,Strasbourg,France,Brazil,6,5,Poland,Brazil win after extra time ,Brazil,,,
5-Jun-38, 18:30 ,First round,Cavee Verte,Le Havre,France,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time ,Czechoslovakia,,,
9-Jun-38, 18:00 ,First round,Stade Municipal,Toulouse,France,Cuba,2,1,Romania, ,Cuba,,,
